[2025-09-05 11:21:35] <INFO> ------------------------------------------------------------------------
[2025-09-05 11:21:35] <INFO> octopus v0.5.2-beta
[2025-09-05 11:21:35] <INFO> Copyright (c) 2015-2018 University of Oxford
[2025-09-05 11:21:35] <INFO> ------------------------------------------------------------------------
[2025-09-05 11:21:45] <INFO> Done initialising calling components in 10s
[2025-09-05 11:21:45] <INFO> Detected 1 sample: "SW620bc_DSIVb_L_DATAC_L10-SW620bc_DSIVb"
[2025-09-05 11:21:45] <INFO> Invoked calling model: individual
[2025-09-05 11:21:45] <INFO> Processing 3,101,804,739bp with a single thread
[2025-09-05 11:21:45] <INFO> Writing filtered calls to "/data/scratch/DMP/UCEC/GENEVOD/qguo/Projects/lp_mut/results/sample2/Variants_Octopus_v0.5.2/sample2.octopus.vcf.tmp"
[2025-09-05 11:21:45] <INFO> ------------------------------------------------------------------------
[2025-09-05 11:21:45] <INFO>      current      |                   |     time      |     estimated   
[2025-09-05 11:21:45] <INFO>      position     |     completed     |     taken     |     ttc         
[2025-09-05 11:21:45] <INFO> ------------------------------------------------------------------------
[2025-09-05 11:22:15] <INFO>      7:36124292            40.9%              29s               51s
[2025-09-05 11:22:15] <INFO>      7:54745652            41.5%              29s               50s
[2025-09-05 11:22:15] <INFO>      7:61969121            41.8%              29s               49s
[2025-09-05 11:22:15] <INFO>      7:67047241            41.9%              29s               49s
[2025-09-05 11:22:15] <INFO>      7:77868367            42.3%              29s               48s
[2025-09-05 11:22:15] <INFO>      7:89110041            42.6%              29s               48s
[2025-09-05 11:22:15] <INFO>      7:92884832            42.8%              29s               48s
[2025-09-05 11:22:15] <INFO>      7:99309412            43.0%              29s               47s
[2025-09-05 11:22:15] <INFO>     7:103034592            43.1%              29s               47s
[2025-09-05 11:22:15] <INFO>     7:111017580            43.4%              29s               46s
[2025-09-05 11:22:15] <INFO>     7:118131507            43.6%              29s               46s
[2025-09-05 11:22:15] <INFO>     7:121280623            43.7%              29s               46s
[2025-09-05 11:22:15] <INFO>     7:125100934            43.8%              29s               45s
[2025-09-05 11:22:15] <INFO>     7:132204746            44.0%              29s               45s
[2025-09-05 11:22:15] <INFO>     7:137693104            44.2%              29s               45s
[2025-09-05 11:22:15] <INFO>     7:142143277            44.4%              29s               45s
[2025-09-05 11:22:15] <INFO>     7:153160306            44.7%              29s               44s
[2025-09-05 11:22:15] <INFO>     7:156877886            44.8%              29s               44s
[2025-09-05 11:22:17] <INFO>       8:4489552            45.0%              32s               47s
[2025-09-05 11:22:17] <INFO>       8:7624496            45.1%              32s               47s
[2025-09-05 11:22:17] <INFO>      8:13581283            45.3%              32s               47s
[2025-09-05 11:22:17] <INFO>      8:25947237            45.7%              32s               46s
[2025-09-05 11:22:17] <INFO>      8:46849174            46.4%              32s               45s
[2025-09-05 11:22:17] <INFO>      8:50394056            46.5%              32s               44s
[2025-09-05 11:22:17] <INFO>      8:57954973            46.8%              32s               44s
[2025-09-05 11:22:17] <INFO>      8:64090319            47.0%              32s               44s
[2025-09-05 11:22:17] <INFO>      8:70839897            47.2%              32s               43s
[2025-09-05 11:22:17] <INFO>      8:74667382            47.3%              32s               43s
[2025-09-05 11:22:17] <INFO>      8:90113946            47.8%              32s               42s
[2025-09-05 11:22:17] <INFO>      8:97101578            48.0%              32s               42s
[2025-09-05 11:22:17] <INFO>     8:119053763            48.7%              32s               41s
[2025-09-05 11:22:17] <INFO>     8:124849170            48.9%              32s               40s
[2025-09-05 11:22:17] <INFO>     8:127967754            49.0%              32s               40s
[2025-09-05 11:22:17] <INFO>     8:132335507            49.2%              32s               40s
[2025-09-05 11:22:17] <INFO>     8:137965596            49.4%              32s               40s
[2025-09-05 11:22:17] <INFO>     8:146364022            49.6%              32s               39s
[2025-09-05 11:22:20] <INFO>      9:13769514            50.1%              35s               42s
[2025-09-05 11:22:20] <INFO>      9:26094798            50.5%              35s               41s
[2025-09-05 11:22:20] <INFO>      9:30056944            50.6%              35s               41s
[2025-09-05 11:22:20] <INFO>      9:34817400            50.7%              35s               41s
[2025-09-05 11:22:20] <INFO>      9:45049242            51.1%              35s               40s
[2025-09-05 11:22:20] <INFO>      9:66291573            51.8%              35s               39s
[2025-09-05 11:22:20] <INFO>      9:71468002            51.9%              35s               39s
[2025-09-05 11:22:20] <INFO>      9:83615621            52.3%              35s               38s
[2025-09-05 11:22:20] <INFO>      9:89606011            52.5%              35s               38s
[2025-09-05 11:22:20] <INFO>      9:93095891            52.6%              35s               38s
[2025-09-05 11:22:20] <INFO>      9:96919119            52.7%              35s               38s
[2025-09-05 11:22:20] <INFO>     9:103907685            53.0%              35s               37s
[2025-09-05 11:22:20] <INFO>     9:113633737            53.3%              35s               37s
[2025-09-05 11:22:20] <INFO>     9:117903200            53.4%              35s               36s
[2025-09-05 11:22:20] <INFO>     9:128215604            53.8%              35s               36s
[2025-09-05 11:22:20] <INFO>     9:135208284            54.0%              35s               36s
[2025-09-05 11:22:20] <INFO>     9:138509900            54.1%              35s               36s
[2025-09-05 11:22:22] <INFO>      10:2484084            54.3%              37s               38s
[2025-09-05 11:22:22] <INFO>     10:16811426            54.7%              37s               37s
[2025-09-05 11:22:22] <INFO>     10:25814587            55.0%              37s               37s
[2025-09-05 11:22:22] <INFO>     10:30434801            55.2%              37s               36s
[2025-09-05 11:22:22] <INFO>     10:33922126            55.3%              37s               36s
[2025-09-05 11:22:22] <INFO>     10:39115769            55.4%              37s               36s
[2025-09-05 11:22:22] <INFO>     10:42385333            55.5%              37s               36s
[2025-09-05 11:22:22] <INFO>     10:55059003            55.9%              37s               35s
[2025-09-05 11:22:22] <INFO>     10:63578632            56.2%              37s               35s
[2025-09-05 11:22:22] <INFO>     10:67246900            56.3%              37s               35s
[2025-09-05 11:22:22] <INFO>     10:72914369            56.5%              37s               34s
[2025-09-05 11:22:22] <INFO>     10:76212809            56.6%              37s               34s
[2025-09-05 11:22:22] <INFO>     10:83978961            56.9%              37s               34s
[2025-09-05 11:22:22] <INFO>     10:89369462            57.1%              37s               34s
[2025-09-05 11:22:22] <INFO>    10:101848444            57.5%              37s               33s
[2025-09-05 11:22:22] <INFO>    10:122164896            58.1%              37s               32s
[2025-09-05 11:22:22] <INFO>    10:126699622            58.3%              37s               32s
[2025-09-05 11:22:22] <INFO>    10:134998653            58.5%              37s               32s
[2025-09-05 11:22:25] <INFO>      11:2985903            58.6%              40s               34s
[2025-09-05 11:22:25] <INFO>      11:9600438            58.9%              40s               33s
[2025-09-05 11:22:25] <INFO>     11:17845709            59.1%              40s               33s
[2025-09-05 11:22:25] <INFO>     11:35052312            59.7%              40s               32s
[2025-09-05 11:22:25] <INFO>     11:38358701            59.8%              40s               32s
[2025-09-05 11:22:25] <INFO>     11:42939574            59.9%              40s               32s
[2025-09-05 11:22:25] <INFO>     11:48827426            60.1%              40s               32s
[2025-09-05 11:22:25] <INFO>     11:54995497            60.3%              40s               31s
[2025-09-05 11:22:25] <INFO>     11:61549025            60.5%              40s               31s
[2025-09-05 11:22:25] <INFO>     11:66127926            60.7%              40s               31s
[2025-09-05 11:22:25] <INFO>     11:73459025            60.9%              40s               31s
[2025-09-05 11:22:25] <INFO>     11:78582152            61.1%              40s               31s
[2025-09-05 11:22:25] <INFO>     11:86284968            61.3%              40s               30s
[2025-09-05 11:22:25] <INFO>     11:93324551            61.6%              40s               30s
[2025-09-05 11:22:25] <INFO>    11:104381886            61.9%              40s               29s
[2025-09-05 11:22:25] <INFO>    11:113909671            62.2%              40s               29s
[2025-09-05 11:22:25] <INFO>    11:117430479            62.3%              40s               29s
[2025-09-05 11:22:25] <INFO>    11:122563338            62.5%              40s               29s
[2025-09-05 11:22:25] <INFO>    11:129657216            62.7%              40s               28s
[2025-09-05 11:22:25] <INFO>    11:134233343            62.9%              40s               28s
[2025-09-05 11:22:28] <INFO>      12:6417951            63.1%              42s               30s
[2025-09-05 11:22:28] <INFO>     12:11837265            63.3%              42s               30s
[2025-09-05 11:22:28] <INFO>     12:16305100            63.4%              42s               29s
[2025-09-05 11:22:28] <INFO>     12:21603877            63.6%              42s               29s
[2025-09-05 11:22:28] <INFO>     12:24718325            63.7%              42s               29s
[2025-09-05 11:22:28] <INFO>     12:28516813            63.8%              42s               29s
[2025-09-05 11:22:28] <INFO>     12:41774886            64.2%              42s               28s
[2025-09-05 11:22:28] <INFO>     12:50953094            64.5%              42s               28s
[2025-09-05 11:22:28] <INFO>     12:61877416            64.9%              42s               28s
[2025-09-05 11:22:28] <INFO>     12:66124509            65.0%              42s               27s
[2025-09-05 11:22:28] <INFO>     12:69778088            65.1%              42s               27s
[2025-09-05 11:22:28] <INFO>     12:80711932            65.5%              42s               27s
[2025-09-05 11:22:28] <INFO>     12:85551659            65.7%              42s               27s
[2025-09-05 11:22:28] <INFO>     12:95544394            66.0%              42s               26s
[2025-09-05 11:22:28] <INFO>    12:104057890            66.3%              42s               26s
[2025-09-05 11:22:28] <INFO>    12:115890922            66.6%              42s               25s
[2025-09-05 11:22:28] <INFO>    12:129507453            67.1%              42s               25s
[2025-09-05 11:22:28] <INFO>    12:133851895            67.2%              42s               25s
[2025-09-05 11:22:29] <INFO>     13:24574186            68.0%              44s               25s
[2025-09-05 11:22:29] <INFO>     13:28393672            68.1%              44s               25s
[2025-09-05 11:22:29] <INFO>     13:33908665            68.3%              44s               24s
[2025-09-05 11:22:29] <INFO>     13:38846015            68.5%              44s               24s
[2025-09-05 11:22:29] <INFO>     13:52127212            68.9%              44s               24s
[2025-09-05 11:22:29] <INFO>     13:58480590            69.1%              44s               24s
